;x;y
0;1;73.88738528059842
1;6;68.34433791080927
2;11;62.85730449021155
3;16;59.31940474163729
4;21;53.49959581055365
5;26;47.595068770114864
6;31;45.68460899228433
7;36;42.62327503605929
8;41;40.83414355079829
9;46;39.354352492999844
10;51;37.853996378886706
11;56;36.88451274636549
12;61;36.809960480826426
13;66;35.73654447627379
14;71;34.485648280183476
15;76;33.75802048369167
16;81;32.98211775539538
17;86;31.867218224479693
18;91;30.961688625728293
19;96;29.678354893174248
20;100;28.975067823390006
