x;y
1;12.82012
6;13.04061
11;13.26843
16;13.48949
21;14.58294
26;15.94807
31;16.44308
36;17.21015
41;17.57581
46;17.75929
51;17.36574
56;17.46562
61;17.44787
66;17.45494
71;17.42160
76;17.45430
81;17.56257
86;17.64597
91;17.80630
96;18.41256
100;18.44737
