x;y
1;17.86396
6;17.92471
11;18.03541
16;18.05803
21;18.50211
26;19.21889
31;19.74313
36;20.60758
41;22.23652
46;22.99149
51;24.77581
56;26.32300
61;26.92355
66;27.87409
71;29.12496
76;30.50049
81;32.11033
86;33.48658
91;35.06147
96;36.24308
101;37.58859
