x;y
1;17.80806
6;17.86588
11;17.97821
16;18.00214
21;18.44363
26;19.15524
31;19.67431
36;20.53596
41;22.15505
46;22.90247
51;24.68429
56;26.23478
61;26.83111
66;27.78110
71;29.03347
76;30.40391
81;32.01854
86;33.38907
91;34.96265
96;36.13718
101;37.47708
